[2025-01-24 20:26:21,038: INFO: main : Welcome to our custome log]
[2025-01-25 23:00:49,226: INFO: common : yaml file: config\config.yaml loaded successfully]
[2025-01-25 23:00:49,232: INFO: common : yaml file: params.yaml loaded successfully]
[2025-01-25 23:00:49,236: INFO: common : created directory at: artifacts]
[2025-01-25 23:00:49,238: INFO: common : created directory at: artifacts/data_ingestion]
[2025-01-25 23:00:49,240: INFO: 2637870058 : Downloading data from https://drive.google.com/file/d/1icYOCFylBIiGUnbvzTOK9LIT2_Z3GVrW/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-25 23:01:18,304: INFO: 2637870058 : Downloaded data from https://drive.google.com/file/d/1icYOCFylBIiGUnbvzTOK9LIT2_Z3GVrW/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-25 23:15:31,326: INFO: common : yaml file: config\config.yaml loaded successfully]
[2025-01-25 23:15:31,327: INFO: common : yaml file: params.yaml loaded successfully]
[2025-01-25 23:15:31,327: INFO: common : created directory at: artifacts]
[2025-01-25 23:15:31,327: INFO: common : created directory at: artifacts/data_ingestion]
[2025-01-25 23:15:31,327: INFO: data_ingestion : Downloading data from https://drive.google.com/file/d/1icYOCFylBIiGUnbvzTOK9LIT2_Z3GVrW/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-25 23:16:04,019: INFO: data_ingestion : Downloaded data from https://drive.google.com/file/d/1icYOCFylBIiGUnbvzTOK9LIT2_Z3GVrW/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-25 23:21:48,815: INFO: main : >>>>>> stage Data Ingestion Stage started <<<<<<]
[2025-01-25 23:21:48,816: INFO: common : yaml file: config\config.yaml loaded successfully]
[2025-01-25 23:21:48,816: INFO: common : yaml file: params.yaml loaded successfully]
[2025-01-25 23:21:48,816: INFO: common : created directory at: artifacts]
[2025-01-25 23:21:48,816: INFO: common : created directory at: artifacts/data_ingestion]
[2025-01-25 23:21:48,817: INFO: data_ingestion : Downloading data from https://drive.google.com/file/d/1icYOCFylBIiGUnbvzTOK9LIT2_Z3GVrW/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-25 23:22:21,393: INFO: data_ingestion : Downloaded data from https://drive.google.com/file/d/1icYOCFylBIiGUnbvzTOK9LIT2_Z3GVrW/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-25 23:22:32,008: INFO: main : >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
